,URL,Note,Coordinates,lat,lon
1,"https://www.google.com/maps/search/50.850696,4.443659",-,"50.850696,4.443659",50.850696,4.443659
2,"https://www.google.com/maps/search/50.8015881,4.3930443",-,"50.8015881,4.3930443",50.8015881,4.3930443
4,"https://www.google.com/maps/search/50.8367982,4.415593",-,"50.8367982,4.415593",50.8367982,4.415593
5,"https://www.google.com/maps/search/50.8361471,4.383161",-,"50.8361471,4.383161",50.8361471,4.383161
6,"https://www.google.com/maps/search/50.840079,4.3573206",-,"50.840079,4.3573206",50.840079,4.3573206
7,"https://www.google.com/maps/search/50.8396418,4.3509665",-,"50.8396418,4.3509665",50.8396418,4.3509665
8,"https://www.google.com/maps/search/50.8472065,4.448156",-,"50.8472065,4.448156",50.8472065,4.448156
9,"https://www.google.com/maps/search/50.84644,4.4551964",Behind the garage,"50.84644,4.4551964",50.84644,4.4551964
11,"https://www.google.com/maps/search/50.8155634,4.4316979",-,"50.8155634,4.4316979",50.8155634,4.4316979
12,"https://www.google.com/maps/search/50.8084979,4.4466965",Nice isolated parking,"50.8084979,4.4466965",50.8084979,4.4466965
13,"https://www.google.com/maps/search/50.8478219,4.4414132",-,"50.8478219,4.4414132",50.8478219,4.4414132
14,"https://www.google.com/maps/search/50.8417768,4.422851",-,"50.8417768,4.422851",50.8417768,4.422851
15,"https://www.google.com/maps/search/50.8417829,4.4230411",-,"50.8417829,4.4230411",50.8417829,4.4230411
16,"https://www.google.com/maps/search/50.8420886,4.4259936",-,"50.8420886,4.4259936",50.8420886,4.4259936
18,"https://www.google.com/maps/search/50.8448207,4.4309037",-,"50.8448207,4.4309037",50.8448207,4.4309037
19,"https://www.google.com/maps/search/50.8459522,4.4298328",-,"50.8459522,4.4298328",50.8459522,4.4298328
20,"https://www.google.com/maps/search/50.846669,4.4315866",-,"50.846669,4.4315866",50.846669,4.4315866
21,"https://www.google.com/maps/search/50.8478172,4.4340901",-,"50.8478172,4.4340901",50.8478172,4.4340901
24,"https://www.google.com/maps/search/50.8481636,4.3570209",-,"50.8481636,4.3570209",50.8481636,4.3570209
25,"https://www.google.com/maps/search/50.8648016,4.3573267",-,"50.8648016,4.3573267",50.8648016,4.3573267
26,"https://www.google.com/maps/search/50.79739,4.3964256",-,"50.79739,4.3964256",50.79739,4.3964256
27,"https://www.google.com/maps/search/50.7986062,4.3954278",-,"50.7986062,4.3954278",50.7986062,4.3954278
28,"https://www.google.com/maps/search/50.8480603,4.451553",Just behind the church,"50.8480603,4.451553",50.8480603,4.451553
30,"https://www.google.com/maps/search/50.8506322,4.4471394",-,"50.8506322,4.4471394",50.8506322,4.4471394
31,"https://www.google.com/maps/search/50.8516649,4.3472255",-,"50.8516649,4.3472255",50.8516649,4.3472255
33,"https://www.google.com/maps/search/50.8525713,4.3471185",-,"50.8525713,4.3471185",50.8525713,4.3471185
34,"https://www.google.com/maps/search/50.8398887,4.3600739",-,"50.8398887,4.3600739",50.8398887,4.3600739
